risk_name,category,scope,base_probability,severity,scenario_probability,wireline_runs,ct_days,milling_plugs,testing_days,pump_days,extra_stages,logistics_days,affected_resource,risk_notes,scenario_notes
Well not ready for frac,Readiness,well,0.08,Major,0.1,0,0,0,0,0,0,7,Frac Fleet,Well not available at planned frac start.,Major readiness delay.
Rig release delayed,Readiness,well,0.05,Minor,0.6,0,0,0,0,0,0,1,Frac Fleet,Prior rig activity delays frac readiness.,Short rig release delay.
Rig release delayed,Readiness,well,0.05,Moderate,0.3,0,0,0,0,0,0,3,Frac Fleet,Prior rig activity delays frac readiness.,Rig release delayed.
Rig release delayed,Readiness,well,0.05,Major,0.1,0,0,0,0,0,0,7,Frac Fleet,Prior rig activity delays frac readiness.,Major handover issue.
Wireline unit unavailable,Resources,campaign,0.08,Minor,0.6,0,0,0,0,0,0,0.5,Wireline,Wireline crew or unit not available.,Short crew/unit delay.
Wireline unit unavailable,Resources,campaign,0.08,Moderate,0.3,0,0,0,0,0,0,2,Wireline,Wireline crew or unit not available.,Replacement crew/unit required.
Wireline unit unavailable,Resources,campaign,0.08,Major,0.1,0,0,0,0,0,0,5,Wireline,Wireline crew or unit not available.,Major crew/unit availability issue.
CT unit unavailable,Resources,campaign,0.05,Minor,0.6,0,0,0,0,0,0,0.5,CT,CT spread not available when required.,Short CT delay.
CT unit unavailable,Resources,campaign,0.05,Moderate,0.3,0,0,0,0,0,0,2,CT,CT spread not available when required.,Alternate CT unit required.
CT unit unavailable,Resources,campaign,0.05,Major,0.1,0,0,0,0,0,0,5,CT,CT spread not available when required.,Major CT availability issue.
Testing unit unavailable,Resources,campaign,0.05,Minor,0.6,0,0,0,0.25,0,0,0.5,Testing,Testing or flowback package unavailable.,Short testing delay.
Testing unit unavailable,Resources,campaign,0.05,Moderate,0.3,0,0,0,1,0,0,2,Testing,Testing or flowback package unavailable.,Alternate testing package required.
Testing unit unavailable,Resources,campaign,0.05,Major,0.1,0,0,0,3,0,0,5,Testing,Testing or flowback package unavailable.,Major testing availability issue.
Weather shutdown,Operational,campaign,0.1,Minor,0.6,0,0,0,0,0,0,1,Multiple,Weather interruption affects site operations.,Short weather delay.
Weather shutdown,Operational,campaign,0.1,Moderate,0.3,0,0,0,0,0,0,3,Multiple,Weather interruption affects site operations.,Multi-day weather delay.
Weather shutdown,Operational,campaign,0.1,Major,0.1,0,0,0,0,0,0,7,Multiple,Weather interruption affects site operations.,Extended weather shutdown.
Permit delay,Operational,campaign,0.05,Minor,0.5,0,0,0,0,0,0,1,Multiple,Permit or regulatory approval delay.,Short permit delay.
Permit delay,Operational,campaign,0.05,Moderate,0.35,0,0,0,0,0,0,5,Multiple,Permit or regulatory approval delay.,Permit delay impacts start.
Permit delay,Operational,campaign,0.05,Major,0.15,0,0,0,0,0,0,14,Multiple,Permit or regulatory approval delay.,Major regulatory delay.
SimOps conflict,Operational,campaign,0.05,Minor,0.6,0,0,0,0,0,0,0.5,Multiple,Concurrent operations conflict with frac activity.,Short coordination delay.
SimOps conflict,Operational,campaign,0.05,Moderate,0.3,0,0,0,0,0,0,1.5,Multiple,Concurrent operations conflict with frac activity.,Operational conflict resolved.
SimOps conflict,Operational,campaign,0.05,Major,0.1,0,0,0,0,0,0,3,Multiple,Concurrent operations conflict with frac activity.,Extended SimOps conflict.
